title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,2322 Shoreham Rd,ORLANDO,FL,32803,"$1,520,000","5 bds , 5 ba , 4,823 sqft",,https://www.zillow.com/homedetails/2322-Shoreham-Rd-Orlando-FL-32803/46116466_zpid/
Condo for sale,400 E Colonial Dr APT 808,ORLANDO,FL,32803,"$200,000","2 bds , 2 ba , 1,109 sqft",,https://www.zillow.com/homedetails/400-E-Colonial-Dr-APT-808-Orlando-FL-32803/46196701_zpid/
House for sale,1139 Morris Ave,ORLANDO,FL,32803,"$289,900","3 bds , 3 ba , 2,000 sqft",,https://www.zillow.com/homedetails/1139-Morris-Ave-Orlando-FL-32803/89674214_zpid/
House for sale,3227 N Orange Ave,ORLANDO,FL,32803,"$410,000","3 bds , 2 ba , 1,716 sqft",,https://www.zillow.com/homedetails/3227-N-Orange-Ave-Orlando-FL-32803/46109021_zpid/
House for sale,3904 Virginia Dr,ORLANDO,FL,32803,"$415,000","4 bds , 2 ba , 2,208 sqft",,https://www.zillow.com/homedetails/3904-Virginia-Dr-Orlando-FL-32803/46161862_zpid/
House for sale,714 E Amelia St,Orlando,FL,32803,"$734,900","4 bds , 4 ba , 2,534 sqft",,https://www.zillow.com/homedetails/714-E-Amelia-St-Orlando-FL-32803/46196607_zpid/
House for sale,608 E Marks St,ORLANDO,FL,32803,"$945,000","4 bds , 4 ba , 3,628 sqft",,https://www.zillow.com/homedetails/608-E-Marks-St-Orlando-FL-32803/46189028_zpid/
House for sale,1043 N Shine Ave,Orlando,FL,32803,"$229,000","2 bds , 1 ba , 720 sqft",,https://www.zillow.com/homedetails/1043-N-Shine-Ave-Orlando-FL-32803/46188307_zpid/
House for sale,1509 Minnesota St,ORLANDO,FL,32803,"$296,500","2 bds , 2 ba , 1,310 sqft",,https://www.zillow.com/homedetails/1509-Minnesota-St-Orlando-FL-32803/46189064_zpid/
House for sale,1415 E Ridgewood St,ORLANDO,FL,32803,"$349,900","3 bds , 2 ba , 1,255 sqft",,https://www.zillow.com/homedetails/1415-E-Ridgewood-St-Orlando-FL-32803/46196220_zpid/
House for sale,3112 Pickfair St,ORLANDO,FL,32803,"$279,900","3 bds , 2 ba , 1,261 sqft",,https://www.zillow.com/homedetails/3112-Pickfair-St-Orlando-FL-32803/46233598_zpid/
House for sale,2104 Vivada St,ORLANDO,FL,32803,"$375,000","2 bds , 2 ba , 1,310 sqft",,https://www.zillow.com/homedetails/2104-Vivada-St-Orlando-FL-32803/46158020_zpid/
House for sale,2106 Weber St,ORLANDO,FL,32803,"$259,000","2 bds , 1 ba , 791 sqft",,https://www.zillow.com/homedetails/2106-Weber-St-Orlando-FL-32803/46157094_zpid/
Coming soon,517 E Harwood St,ORLANDO,FL,32803,"$425,000","2 bds , 3 ba , 1,796 sqft",,https://www.zillow.com/homedetails/517-E-Harwood-St-Orlando-FL-32803/46195642_zpid/
House for sale,1334 N Bumby Ave,Orlando,FL,32803,"$210,000","2 bds , 1 ba , 720 sqft",,https://www.zillow.com/homedetails/1334-N-Bumby-Ave-Orlando-FL-32803/46157696_zpid/
Townhouse for sale,1139 Morris Ave # 2,ORLANDO,FL,32803,"$289,900","3 bds , 3 ba , 1,839 sqft",,https://www.zillow.com/homedetails/1139-Morris-Ave-2-Orlando-FL-32803/64625988_zpid/
New construction,2924 Huntington St,ORLANDO,FL,32803,"$599,000","4 bds , 3 ba , 2,609 sqft",,https://www.zillow.com/homedetails/2924-Huntington-St-Orlando-FL-32803/46233552_zpid/
House for sale,1506 Oregon St,ORLANDO,FL,32803,"$319,900","3 bds , 2 ba , 1,298 sqft",,https://www.zillow.com/homedetails/1506-Oregon-St-Orlando-FL-32803/46188312_zpid/
House for sale,541 Lake Como Cir,ORLANDO,FL,32803,"$565,000","3 bds , 3 ba , 2,150 sqft",,https://www.zillow.com/homedetails/541-Lake-Como-Cir-Orlando-FL-32803/46234844_zpid/
New construction,208 Park Lake St # 8,Orlando,FL,32803,"$699,900","3 bds , 4 ba , 2,385 sqft",,https://www.zillow.com/homedetails/208-Park-Lake-St-8-Orlando-FL-32803/2086126726_zpid/
House for sale,1630 E Livingston St,ORLANDO,FL,32803,"$389,000","2 bds , 2 ba , 1,487 sqft",,https://www.zillow.com/homedetails/1630-E-Livingston-St-Orlando-FL-32803/46226947_zpid/
House for sale,1636 Hillcrest St,Orlando,FL,32803,"$284,500","3 bds , 2 ba , 1,895 sqft",,https://www.zillow.com/homedetails/1636-Hillcrest-St-Orlando-FL-32803/46226829_zpid/
House for sale,3608 Corrine Dr,ORLANDO,FL,32803,"$274,987","3 bds , 2 ba , 1,192 sqft",,https://www.zillow.com/homedetails/3608-Corrine-Dr-Orlando-FL-32803/46156542_zpid/
New construction,1637 Ferris Ave,ORLANDO,FL,32803,"$749,000","4 bds , 3 ba , 2,456 sqft",,https://www.zillow.com/homedetails/1637-Ferris-Ave-Orlando-FL-32803/46116756_zpid/
House for sale,1206 Chelsea Pl,ORLANDO,FL,32803,"$335,000","3 bds , 2 ba , 1,510 sqft",,https://www.zillow.com/homedetails/1206-Chelsea-Pl-Orlando-FL-32803/46156697_zpid/
